time_s,dominant_freq_hz,estimated_crank_rpm
0.5546666666666666,116.44550295224236,1746.6825442836355
0.5973333333333334,128.89758952220993,1933.4638428331489
0.64,135.4490553660593,2031.7358304908892
0.6826666666666666,138.41668940521396,2076.2503410782097
0.7253333333333334,139.62697641165647,2094.404646174848
0.768,139.98103230098596,2099.7154845147898
0.8106666666666666,139.60739113260138,2094.110866989021
0.8533333333333334,138.1399348936796,2072.0990234051937
0.896,135.05503270513026,2025.825490576954
0.9386666666666666,130.19395497501537,1952.909324625231
0.9813333333333333,124.15838167463424,1862.3757251195138
1.024,118.1482983363956,1772.224475045934
1.0666666666666667,113.3858133041906,1700.7871995628593
1.1093333333333333,110.65143784192074,1659.7715676288115
1.152,110.23003891427413,1653.4505837141123
1.1946666666666668,111.9851023838223,1679.7765357573344
1.2373333333333334,115.27528693880967,1729.1293040821452
1.28,118.92159846687667,1783.8239770031505
1.3226666666666667,121.64223068784669,1824.6334603177006
1.3653333333333333,122.84824496614544,1842.7236744921818
1.408,123.09525316034807,1846.4287974052208
1.4506666666666668,123.72266916218287,1855.840037432743
1.4933333333333334,125.99808817716232,1889.9713226574352
1.536,130.32970559804644,1954.945583970697
1.5786666666666667,136.01877892565005,2040.2816838847511
1.6213333333333333,141.72547331370728,2125.8820997056087
1.664,146.3185408031723,2194.7781120475847
1.7066666666666668,149.38713477074322,2240.8070215611483
1.7493333333333334,151.11967159375166,2266.795073906275
1.792,151.84897924164073,2277.734688624611
1.8346666666666667,151.67852259186228,2275.1778388779344
1.8773333333333333,150.3356679600424,2255.0350194006364
1.92,147.26240383161579,2208.936057474237
1.9626666666666666,142.01676099802097,2130.2514149703147
2.005333333333333,134.80210888614099,2022.0316332921154
2.048,126.66677541519309,1900.0016312278967
2.0906666666666665,119.0711506605287,1786.0672599079303
2.1333333333333333,113.1680110963094,1697.5201664446406
2.176,109.38909363242043,1640.8364044863063
2.2186666666666666,107.51622599608274,1612.743389941241
2.2613333333333334,106.99116178077918,1604.8674267116871
2.304,107.19219500507646,1607.8829250761466
2.3466666666666667,107.57961185572567,1613.694177835885
2.3893333333333335,107.76391072910785,1616.4586609366177
2.432,107.58115520152566,1613.7173280228847
2.474666666666667,107.13346408747603,1607.00196131214
2.517333333333333,106.70688548796403,1600.60328231946
2.56,106.627411147246,1599.41116720869
2.6026666666666665,107.2357798497709,1608.5366977465637
2.6453333333333333,108.98069437305195,1634.7104155957793
2.688,112.42663827657263,1686.3995741485892
2.7306666666666666,117.97322894689714,1769.5984342034574
2.7733333333333334,125.36403282507256,1880.4604923760883
2.816,133.44277526903966,2001.6416290355944
2.8586666666666667,140.62507465470293,2109.3761198205434
2.9013333333333335,145.83927112153896,2187.589066823084
2.944,149.07718104532293,2236.157715679843
2.986666666666667,151.08673646561041,2266.3010469841556
3.029333333333333,152.6625375410749,2289.9380631161234
3.072,154.02771508433264,2310.4157262649896
3.1146666666666665,154.55175026455086,2318.2762539682635
3.1573333333333333,152.8660689673785,2292.9910345106787
3.2,147.63834933089007,2214.575239963351
3.2426666666666666,138.80050538962186,2082.0075808443285
3.2853333333333334,128.18370546521348,1922.7555819782024
3.328,118.58522457184984,1778.7783685777483
3.3706666666666667,111.97406986484368,1679.611047972656
3.4133333333333336,108.64581493246092,1629.6872239869142
3.456,107.88977778351654,1618.3466667527478
3.498666666666667,109.06518100075374,1635.977715011306
3.541333333333333,111.96715100839683,1679.5072651259522
3.584,116.42380344913057,1746.3570517369583
3.6266666666666665,121.85950114829531,1827.8925172244294
3.6693333333333333,127.35545214765054,1910.3317822147571
3.712,132.09757095670275,1981.4635643505405
3.7546666666666666,135.5623838915782,2033.435758373673
3.7973333333333334,137.3907614126514,2060.8614211897707
3.84,137.2629692607093,2058.944538910639
3.8826666666666667,135.03993442705783,2025.5990164058678
3.925333333333333,131.09541365636142,1966.431204845421
3.968,126.46024168676634,1896.9036253014954
4.010666666666666,122.43508102253617,1836.5262153380431
4.053333333333334,119.94503075056387,1799.175461258458
4.096,119.30295695117152,1789.544354267573
4.1386666666666665,120.50135910792226,1807.520386618834
4.181333333333333,123.44177258129938,1851.6265887194909
4.224,127.74531108950444,1916.1796663425666
4.266666666666667,132.53936825612232,1988.090523841835
4.309333333333333,136.76020859508452,2051.403128926268
4.352,139.74868840491015,2096.230326073652
4.394666666666667,141.48304095338244,2122.2456143007366
4.437333333333333,142.20503165898435,2133.0754748847653
4.48,141.941831724084,2129.127475861261
4.522666666666667,140.33521057940334,2105.02815869105
4.565333333333333,136.88584424869194,2053.2876637303793
4.608,131.4431452228339,1971.647178342508
4.650666666666667,124.63201289016358,1869.4801933524536
4.693333333333333,117.81672071721867,1767.25081075828
4.736,112.56849782325473,1688.5274673488213
4.778666666666667,109.92419629056943,1648.8629443585417
4.8213333333333335,109.86033345983962,1647.9050018975947
4.864,111.32709340378634,1669.9064010567943
4.906666666666666,112.88532842419082,1693.2799263628617
4.949333333333334,113.51627325120533,1702.744098768081
4.992,113.01563741333308,1695.2345611999965
5.034666666666666,111.8153807696657,1677.230711544986
5.077333333333334,110.53017825797222,1657.952673869583
5.12,109.59034341365843,1643.8551512048764
5.1626666666666665,109.1000963067349,1636.5014446010234
5.205333333333333,108.84922652248703,1632.7383978373055
5.248,108.49481591581605,1627.4222387372406
5.290666666666667,107.87096701961498,1618.0645052942248
5.333333333333333,107.16601287685808,1607.4901931528711
5.376,106.84684842695476,1602.702726404321
5.418666666666667,107.5273313127748,1612.9099696916217
5.461333333333333,109.95874302236433,1649.3811453354647
5.504,114.82531343825777,1722.379701573866
5.546666666666667,122.1255604176087,1831.8834062641306
5.589333333333333,130.70167248684416,1960.525087302662
5.632,138.69787773877064,2080.46816608156
5.674666666666667,144.685939901122,2170.28909851683
5.717333333333333,148.36346857529085,2225.452028629363
5.76,150.29100286493704,2254.3650429740555
5.802666666666667,151.2314992074372,2268.472488111558
5.8453333333333335,151.73955292688285,2276.0932939032427
5.888,152.09917567332215,2281.4876350998325
5.930666666666666,152.4069509629778,2286.1042644446666
5.973333333333334,152.67699311905258,2290.1548967857884
6.016,152.89836873972388,2293.475531095858
6.058666666666666,153.07927838877737,2296.18917583166
6.101333333333334,153.24738160884274,2298.7107241326407
6.144,153.43058853570864,2301.458828035629
6.1866666666666665,153.64071581568308,2304.6107372352462
6.229333333333333,153.86785240091146,2308.017786013672
6.272,154.09240292965103,2311.3860439447653
6.314666666666667,154.30844701163852,2314.626705174578
6.357333333333333,154.55746211501813,2318.3619317252715
6.4,154.94438114844195,2324.1657172266296
6.442666666666667,155.60246228227427,2334.036934234114
6.485333333333333,156.58209315491524,2348.731397323728
6.528,157.73955091008523,2366.093263651279
6.570666666666667,158.62948628865257,2379.44229432979
6.613333333333333,158.47359607229797,2377.1039410844696
6.656,156.34238965104294,2345.1358447656444
6.698666666666667,151.71861684556652,2275.779252683498
6.741333333333333,145.29483240722348,2179.4224861083526
6.784,139.1161436666714,2086.742155000071
6.826666666666667,135.35178730319618,2030.276809547943
6.8693333333333335,134.66153472789526,2019.923020918429
6.912,135.87914719744055,2038.1872079616087
6.954666666666666,137.21255308321864,2058.188296248279
6.997333333333334,137.46499207284614,2061.974881092693
7.04,136.37066051336205,2045.559907700431
7.082666666666666,134.33262737509978,2014.9894106264962
7.125333333333334,131.8838702050361,1978.2580530755413
7.168,129.14703320562583,1937.2054980843875
7.210666666666667,125.91856597028203,1888.77848955423
7.253333333333333,122.30624115280928,1834.5936172921388
7.296,119.04962605510825,1785.7443908266239
7.338666666666667,117.11534976684835,1756.7302465027253
7.381333333333333,117.18637728180997,1757.7956592271494
7.424,119.45839735635963,1791.8759603453946
7.466666666666667,123.50574559305632,1852.5861838958444
7.509333333333333,128.15810912524336,1922.3716368786502
7.552,131.8188400176404,1977.2826002646057
7.594666666666667,133.11320327267177,1996.698049090077
7.637333333333333,131.44532697749628,1971.6799046624442
7.68,127.22718883002976,1908.4078324504455
7.722666666666667,121.80555855470924,1827.0833783206385
7.765333333333333,117.0109074347859,1755.1636115217887
7.808,114.44350579076242,1716.6525868614358
7.850666666666666,114.80439999552605,1722.06599993289
7.8933333333333335,117.52052095537722,1762.8078143306582
7.936,120.83754833113045,1812.5632249669563
7.978666666666666,122.68713607053267,1840.30704105799
8.021333333333333,122.04910134657014,1830.7365201985517
